name,cefr,text
a-christmas-carol,A1," Script adapté pour des élèves de français de niveau A1 par Gruff Davies à partir d'une histoire originale de Charles Dickens.  Traduction française d'Aurélie Drouard  La chambre de Scrooge est à gauche de la scène. Il y a un lit à baldaquin avec des voilages et à côté une petite table de nuit avec une bougie dessus. Derrière le lit,  il y a une fenêtre sans rideaux. La vitre est poisseuse. Du côté droit de la scène se trouve le salon de Scrooge.  Il y a deux portes: la porte d'entrée de la maison se situe dans le mur du fond, et au-dessus de cette porte il y a une cloche; l'autre porte est dans le mur de droite   et mène à une cave à charbon. Le salon a une cheminée dans le coin. À côté, il y a un petit fauteuil qui fait face au public.  On entend une clé tourner dans la serrure de la porte d'entrée, suivi par une exclamation de surprise.  Une voix fantômatique résonne à travers la pièce: ""Scroooooooge!""  Une pause, et la porte s'ouvre. Scrooge entre rapidement et referme la porte derrière lui. Il se retourne pour faire face à la pièce, Son visage est pâle. Il regarde de chaque côté de la pièce, et se baisse pour regarder sous le fauteuil. Il n'y a personne, donc il enlève son manteau et son chapeau. Il pend ses affaires à un crochet. Il se dirige rapidement vers le fauteuil et s'assoit, les coudes près du corps, les mains serrées avec inquiétude devant lui.  SCROOGE: C'est seulement mon imagination !  Je suis fatigué. On voit parfois des choses qui n'existent pas dans le noir ... Surtout quand on est fatigué. Marley est mort !  Depuis sept ans !  Scrooge allume le feu. Pendant qu'il fait ça,  derrière lui, la porte de la cave s'ouvre puis se ferme en claquant toute seule. Scrooge se lève en sursaut et pousse un cri.  SCROOGE: Bonjour ?  Qui est là ?  Qui c'est ?  Le vent hurle dehors.  SCROOGE: C'est le vent.  C'est seulement le vent.  La cloche au-dessus de la porte commence à se balancer. Soudain,  toutes les cloches du bâtiment se mettent à sonner d'un coup. Le bruit est assourdissant. Après quelques secondes, les cloches se taisent. À présent, on peut entendre un cliquetis de chaînes venant de la cave.  SCROOGE: Je n'ai pas peur !  Je ne crois pas aux fantômes ! Je sais que c'est juste...  c'est juste des enfants qui me font une blague ! Rentrez chez vous ! Rentrez chez vous, je vous dis ! Laissez-moi tranquille !  On entend des bruits de pas pesants monter les escaliers venant de la cave. Tout à coup,  la porte de la cave s'ouvre dans un violent fracas. Un homme entre. Ses chaussures,  son pantalon,  son manteau  et son chapeau sont tous d'un blanc spectral au lieu du noir traditionnel.  Enroulée autour de sa taille se trouve une lourde chaîne, si longue que son extrêmité est encore quelque part dans la cave.  Les maillons de la chaîne sont faits de tirelires, de clés,  de cadenas,  de registres,  d'actes notariés  et de lourdes bourses en acier.  C'est le fantôme de l'associé de Scrooge, mort depuis longtemps, Jacob Marley.  SCROOGE: Qu'est-ce que vous voulez ?  MARLEY: Beaucoup de choses !  SCROOGE: Qui êtes-vous ?  MARLEY: Ne reconnais-tu pas ton associé ?  SCROOGE: Marley ? Comment est-ce possible ?  Pourquoi es-tu chez moi ce soir ? Pourquoi me hantes-tu ?  MARLEY: Ebenezer, je suis condamné à marcher pour toujours enchaîné à l'œuvre de ma vie, à mon passé.  Le fantôme soulève ses lourdes chaînes et pousse un tel gémissement de douleur et de souffrance que Scrooge se renverse dans sa chaise.  MARLEY: Maintenant que je suis mort,  je ne peux pas partager ma fortune pour apporter de la joie, mais je suis ici pour te prévenir que tu as encore une chance d'échapper à mon sort, Ebenezer !  SCROOGE: (gémissant) Oh ! Tu es vraiment un bon ami !  Merci !  MARLEY: Tu vas recevoir la visite de trois esprits. Sans leurs visites, tu vas rencontrer le même destin que moi. Tu vas voir le premier demain, à une heure !  Noir. "
cher-journal,A1," Cher journal Le lundi 8 janvier  Cher journal,  Tous les lundis,  c'est la même chose. Mon réveil sonne à six heures et demie, je me rendors pendant un quart d'heure, et je me lève vers sept heures moins le quart. Ensuite, je prends ma douche pour finir de me réveiller.  Après, je vais dans la cuisine et je bois mon café. Parfois, comme ce matin, il me reste des croissants du weekend, sinon je mange des biscottes beurrées. Je n'ai pas vraiment d'appétit le matin, même si je sais que c'est le repas le plus important de la journée. Je profite aussi du petit-déjeuner pour lire les infos en ligne.  En général, c'est à ce moment-là que   je me rends compte que je suis en retard ! Je cours dans ma chambre, et je me dépêche de m'habiller et de me maquiller, puis je vais prendre le métro !  Peut-être que je devrais avancer un peu mon réveil pour éviter ça !  Oui, cher Journal, c'est décidé,  lundi prochain, je mettrai mon réveil plus tôt ! "
entretien-avec-un-vampire,A1," Entretien avec un vampire (inspiré par le roman d'Anne Rice) LE JOURNALISTE: Très bien, commençons l'entretien. Bonjour, comment vous appelez-vous ?  LE VAMPIRE: Bonjour, je m'appelle Louis de Pointe du Lac.  LE JOURNALISTE: Quel âge avez-vous ?  LE VAMPIRE: J'ai deux cent quarante-huit ans,  mais j'ai vingt-cinq ans pour toujours.  LE JOURNALISTE: Mais c'est impossible !  LE VAMPIRE: Si, c'est possible :  je suis un vampire.  LE JOURNALISTE: C'est extraordinaire ! Quelle est votre date de naissance ?  LE VAMPIRE: J'ai deux dates de naissance.  Je suis né le 10 octobre 1766. Et je suis aussi né le 21 août 1791 comme vampire.  LE JOURNALISTE: D'où venez-vous ?  LE VAMPIRE: Je viens de La Nouvelle Orléans, dans le sud des États-Unis.  LE JOURNALISTE: Donc vous êtes américain ?  LE VAMPIRE: Oui, je suis américain d'origine,  mais en tant que vampire je n'ai pas de pays.  LE JOURNALISTE: Où habitez-vous maintenant ?  LE VAMPIRE: J'habite ici, à San Francisco, depuis quelques semaines. Mais je ne vais pas rester longtemps.  LE JOURNALISTE: Est-ce que vous avez des enfants ?  LE VAMPIRE: Oui, j'ai une fille unique, Claudia.  LE JOURNALISTE: Et est-ce que vous avez un animal familier ?  LE VAMPIRE: Non, je n'ai pas d'animal familier, parce que je mange les animaux.  LE JOURNALISTE: Ah d'accord !   LE VAMPIRE: Excusez-moi, comment allez-vous ?  LE JOURNALISTE: Moi ? Euh... je vais bien. Je suis très surpris  mais ça va !  LE VAMPIRE: Très bien.   LE JOURNALISTE: Et qu'est-ce que vous faites dans la vie alors?  LE VAMPIRE: Pas grand-chose.  Je vis la nuit, je mange  et je me cache.  LE JOURNALISTE: C'est triste!  LE VAMPIRE: Oui, c'est très déprimant.  Je vais y aller maintenant.  LE JOURNALISTE: Ah d'accord. À bientôt alors?  LE VAMPIRE: Peut-être... au revoir.  LE JOURNALISTE: Au revoir.  "
la-comptine-des-vetements,A1, La Comptine des Vêtements  Bruno met son chapeau rigolo.  Élise boutonne sa chemise grise.  Clément enfile ses gants blancs.  Violette porte ses lunettes très chouettes.  Geoffrey adore son béret bleu foncé.  Arthur lace ses chaussures à rayures.  Manon admire son pantalon marron.  Et Édouard aime beaucoup son foulard noir  C'est tellement amusant de réciter la comptine des vêtements !  
marie-in-france-a1-reading-and-listening,A1," Marie en France  Marie aime aller en vacances en France. En général, elle loue une maison à la campagne. Le matin, elle va au marché du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins. Elle passe aussi à la boulangerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner. L'après-midi, elle se promène dans la campagne, ou elle explore la région. Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter. Ce sont des vacances très relaxantes.  "
vive-l-automne,A1," Vive l'automne !   L'automne est ma saison préférée et voici mes raisons. D'abord, je préfère quand il ne fait pas trop chaud, et j'adore la lumière dorée des belles journées d'automne. On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune. C'est un spectacle magique !   Et justement, l'automne, c'est aussi la saison d'Halloween ! Ce n'est pas étonnant, car c'est une saison mystérieuse : la nature change  et devient plus secrète, les animaux se cachent, et les contes et les légendes fleurissent. Une saison parfaite pour les sorcières !  Je suis très gourmande, et j'adore également l'automne  à cause de ses fruits et légumes de saison ! Potirons, courges, pommes, châtaignes... mais aussi des épices délicieuses comme la cannelle, la noix de muscade et le gingembre... Miam ! Ça me donne faim, tout ça ! Et bien sûr, c'est également la saison parfaite pour savourer une boisson chaude emmitouflée dans une couverture devant un bon feu de cheminée ! Ma boisson préférée est un chocolat chaud avec une pincée de cannelle...  Quel délice !  Et vous, êtes-vous d'accord avec moi ? Et sinon, quelle est votre saison favorite, et pourquoi ?  "
belgium-s-declaration-of-independence,A2," 4 octobre 1830 - Déclaration d'indépendance de la Belgique Après la défaite de Napoléon Ier à Waterloo en 1815, la Belgique, séparée de la France, est alors rattachée à l'ancien royaume de Hollande par l'Angleterre, créant ainsi le Royaume-Uni des Pays-Bas. Ce rapprochement est alors mené sans tenir compte de l'avis de la population belge, dont la majorité catholique se sent  plus d'affinités avec la France ou encore avec la maison de Habsbourg-Lorraine qu'avec les Hollandais calvinistes qu'ils jugent plutôt austères.  La Révolution de Juillet 1830 en France, qui, en seulement trois jours, voit le renversement de Charles X et la mise en place d'une monarchie constitutionnelle avec à sa tête le roi-bourgeois Louis-Philippe, inspire une opposition déjà échauffée par les abus du régime autoritaire de Guillaume 1er.  Le soir du 25 août 1830, le théâtre de la Monnaie, à Bruxelles,  donne une représentation de l'opéra La Muette de Portici, dont le sujet se trouve être un soulèvement des Napolitains contre leur oppresseur.  Le public, enthousiaste, reprend le refrain :  « Amour sacré de la patrie, rends-nous l'audace et la fierté », et continue de chanter une fois la représentation terminée. Une foule se forme à la sortie du théâtre  et se lance dans une série de mises à sac de demeures  appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie.  C'est le début de troubles qui se poursuivent  et s'étendent au reste du territoire tout au long du mois de septembre - les fameuses ""Journées de septembre"" - amplifiés par le refus de Guillaume 1er de considérer les revendications des insurgés. Il refuse ainsi catégoriquement la possibilité d'une simple séparation administrative entre la Belgique et la ""Hollande"", et envoie ses troupes afin de tenter de réprimer l'insurrection. Dans cette atmosphère révolutionnaire sont créés deux des symboles nationaux de la Belgique : le drapeau aux couleurs brabançonnes (de la région de Bruxelles) - noir, jaune, rouge - et l'hymne national ""La Brabançonne"" qui remplace ""La Marseillaise"" comme chant des insurgés.  Le temps que Guillaume 1er concède enfin une séparation administrative le 29 septembre, il est trop tard :  les Belges considèrent qu'un roi  qui a fait couler le sang de son peuple ne peut plus régner. Le Gouvernement Provisoire proclame l'indépendance de la Belgique le 4 octobre 1830,  et annonce la rédaction d'un projet de constitution. Lors du Congrès organisé en novembre 1830,  une très large majorité des cent quatre-vingt-huit membres se prononce  pour l'établissement d'une monarchie constitutionnelle. Après avoir sollicité le jeune fils du nouveau roi des Français Louis-Philippe Ier - qui refuse par crainte de nouvelles tensions internationales - les Belges se rabattent sur le prince anglo-allemand Léopold de Saxe-Cobourg. Il prête serment le 21 juillet 1831 et devient roi sous le nom de Léopold Ier.  Malgré la reconnaissance par les grandes puissances de ce nouvel état souverain, Guillaume Ier n'accepte pas la situation. Il faudra en effet attendre 1839  pour que les Pays-Bas reconnaissent officiellement l'indépendance belge en signant à Londres le traité des XXIV articles. "
bonne-fete-des-meres,A2," Bonne fête des Mères ! Ce dimanche, c'est la fête des Mères en France, mais pourquoi ? D'où vient cette célébration maternelle annuelle ?  La fête des Mères remonte au temps des Gaulois, quand les Grecs et les Romains ont été les premiers à consacrer une journée printannière aux mères. En France, c'est Napoléon qui a eu l'idée de célébrer les mères en 1806, et le maréchal Pétain qui a popularisé la fête en 1941.  Chose intéressante, de nombreux pays fêtent les mères, mais les dates ne sont pas les mêmes. En France, aussi bien qu'au Bénin, au Cameroun, au Gabon, à Madagascar et à Monaco, la fête des Mères tombe le dernier dimanche de mai, à moins que ce soit la Pentecôte, auquel cas la fête maternelle est reportée au premier dimanche de juin.  En Irlande et au Royaume-Uni, la fête des Mères a lieu le quatrième dimanche du Carême, tandis qu'en Australie, en Belgique, au Canada, aux États-Unis et en Suisse, elle se célèbre le deuxième dimanche de mai. Les Luxembourgeois, eux, fêtent les mères le deuxième dimanche de juin.  Et pour les mères françaises, quel cadeau offrir ? Les fleurs sont toujours appréciées, et certaines mamans peuvent également recevoir du parfum, des cosmétiques, de la confiserie, des bijoux ou peut-être un repas au resto. "
breton-accent,A2," L'accent breton (parodie) Bonsoir. Bienvenue à Antenne 3 Bretagne.  Étranger : Moyen-Orient. Le cheik Aziz Tarek s'est rendu de La Mecque à Balbec et en ce moment discute les problèmes intrinsèques à l'ambassade grecque au « Kowec » [sic : Koweït].  Étranger, toujours : À Paris, Jacques Chirac a remis un chèque aux jeunes de la fac de l'ESSEC. Quelques prises de becs pourtant avec des mecs très incorrecs [sic : incorrects] de Supélec qui l'ont traité de tête de cake.  Bretagne, enfin : Dans une discothèque de Plumelec, la police, après enquête, a mis en échec un réseau de coke et de crack planqués dans des bonbecs, des car-en-sacs et des pastèques, sans déc' [apocope de déconner].  Un petit break à présent. Avec deux jeunes mecs encore en fac, qui chantent tous les soirs au Caveau de la Bolec. C'est cela.  Oui, c'est ça. Ouais. C'est ça.  Vos prénoms, Messieurs ?  Euh, moi, c'est Yann.  Euh, moi, c'est Yann.  Pas trop le trac ?  Impec. [apocope of impeccable]  On écoute en direc [sic : direct].  Pollution, je dis non, mais à la vie, je dis oui. J'ai connu mon pays sous un soleil flambant. Je l'ai revu depuis noyé de carburant. Pollution, je dis oui –  non, non –  mais à la vie, je dis oui.  [bandeau en bas de l'écran] Tous les soirs au Caveau de la Bolec. Déjà les premières 6 représentations annulées.  Tu t'es planté, là.  La pollution, je dis non, mais à la vie je dis oui, oui.  Merci.  Pollution ...  "
carte-postale,A2," Carte Postale  Bonjour Nicolas !  J'espère que tu passes des vacances extraordinaires ! Moi, je m'amuse beaucoup chez mes grands-parents. Le matin, je me lève tôt et je vais cueillir des fraises dans le jardin pour mon petit-déjeuner. Puis, je donne à manger aux lapins. Ils sont trop mignons ! Mon préféré est noir et blanc, et il s'appelle... Zèbre ! Il agite son petit nez rose quand il me voit !  Ma grand-mère fait des gâteaux tous les jours. Aujourd'hui, c'est une tarte aux framboises avec de la confiture faite maison ! Miam, je vais me régaler ! Je vais copier la recette pour pouvoir te faire goûter !  Mon grand-père est un fou de vélo ! Ensemble, nous faisons des balades dans la campagne. Je ne vais pas très vite, mais il ralentit toujours pour moi. J'adore passer du temps avec lui. Il connaît le nom des plantes, et il sait reconnaître les champignons comestibles !  Mes parents viennent me chercher dans deux semaines. Et toi, quand est-ce que tu rentres à Tours ? Tu me manques beaucoup.  À très bientôt !  Magalie "
